Genes,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,H58,H59,H60,H61,H62,H63,H64,H65,H66,H67,H68,H69,H70,H71,H72,H73,H74,H75,H76,H77,H78,H79,H80,H81,H82,H83,H84,H85,H86,H87,H88,H89,H90,H91,H92,H93,H94,H95,H96,H97,H98,H99,H100
Gene1,-0.463484172,-2.038267008,-2.498994101,-0.698194201,-1.839808489,-0.401646989,-1.87470365,-1.738883794,-0.658798428,-1.922730735,-3.539683694,-0.163299479,-1.370573389,-2.482594609,-1.126060657,-0.474643225,-1.545727366,-2.035122745,-0.708860036,-0.177972709,-0.490056282,-0.531918144,-0.820080654,-2.304789586,-0.558983472,-0.095297072,-1.003064464,-0.526431096,0.01660172,-0.712805779,-1.280191224,-1.24603589,0.557476708,-0.6068256,-1.527231698,-1.01792265,-0.922793264,-0.724334745,-2.602446538,-1.705899852,-1.088884364,-1.173101306,-1.753063806,-0.794433327,-0.460709822,-0.543508763,-0.755962338,-0.73968615,-1.735431269,-0.125198403,-0.130808755,0.473691331,-1.220141955,-1.124889264,-0.44320059,-1.94862467,0.053223143,1.379485851,-0.499920639,-1.12643057,-1.756023113,-0.541227631,-1.088699407,-1.481732355,-1.302262722,-1.068230868,-0.814655258,-1.788020619,-1.781238874,-0.207997343,-0.793508544,0.25605897,-1.357256508,-0.582288014,-0.507380558,-0.577664097,-0.256455994,-0.660031472,-1.562250163,-0.777109051,-0.163176174,-0.931794489,-0.232658234,-0.375568097,0.37122533,-1.42125152,0.283679167,-1.619586734,-2.504481149,0.092372307,-1.022793176,-0.128157709,-1.261880513,0.014197283,-0.626246052,-1.991966186,0.085035692,-0.987774711,0.020177549,-0.510463169,1.342494515,-0.847207634,-0.093879071,0.487624734,-0.77569105,0.448968788,0.953592267,-0.527972402,-0.476061227,1.650262432,0.0188212,1.077451591,0.409881276,-0.936418406,-1.062558863,-1.152632766,0.737994429,0.074863074,0.193913525,-0.394310374,-0.147886422,0.944036171,-0.943939978,0.476773943,0.817340845,0.132137993,0.34576296,-0.371992267,-0.459908343,0.183679255,-1.672237736,1.053468874,0.831397553,0.55365427,1.420114669,0.149893835,-0.68321271,1.28201368,0.19379022,0.983493597,0.010929715,-0.480500187,-0.587343497,0.329733381,0.116724936,0.360744451,-1.681917136,-0.703496292,-0.521992136,-0.54924242,-0.398810986,-0.230993624,-0.044988855,-0.755592424,0.329240163,0.27517116,1.393665863,0.039782957,-0.478342359,-0.083953063,0.557908273,0.438241301,0.088241608,-1.324025958,-0.596036461,-0.613052475,-0.587590105,1.547919735,0.499523614,0.483987253,-0.482473058,-0.708181862,-1.24603589,0.557476708,-0.014779264,-0.18271993,-0.296591594,0.204086142,-0.279082361,-0.568662872,0.343666784,-0.258305561,0.019684331,-0.287775325,0.509449623,-0.164039306,-1.345542585,1.646193385,-0.203373426,0.894529433,0.848660176,-0.38672715,1.019128584,0.343111914,0.924923981,-0.110216911,0.239536173,0.028007382,1.376033326,0.153839577,-0.936418406,-1.062558863,1.321471105,0.6140118,-0.478219055,-0.217738395,1.032568769,1.246810258,1.03645286,2.138054853,0.486021777,0.775170721,0.165183587,1.201804133,1.902604998,0.975848721,0.890768647,0.497612395,0.172581854,0.311361017,0.257846884,0.487563082,-0.267676699,0.343851741,1.359140616,0.589720822,0.54841383,0.211915975,0.764936452,0.340029303,1.053468874,0.75907949,1.202852221,0.566847846,0.158216885,0.427205552,0.154702708,0.775787244,0.087810042,0.442063739,1.708647091,-0.074273663,0.911915361,1.131212333,0.683062294,1.418573363,0.54009078,1.128314678,0.853654007,0.655133835,1.183493421,1.284972987,1.550077563,0.760250883,1.096872042,0.78898082,0.587809603,1.093666126,0.416046499,0.293296915,0.967833931,1.176465067,0.688672647,1.209449009,1.246501997,0.453222792,0.555380532,0.37788377,0.348845571,1.07658846,0.36900585,0.494406479,1.647611387,1.307352745,0.707168315,1.406366222,0.607661621,1.02510885,0.935034946,0.351619922,0.811607188,0.6140118,0.12843886,0.911915361,1.131212333,1.529793981,1.050201306,0.447057569,1.224183891,1.219683279,1.019436845,0.516046411,1.268265234,0.724492591,1.719867797,2.576772101,0.036022171,0.243420263,1.312161619,1.388055511,2.211667612,0.958339488,0.82911642,1.12005328,0.527575378,1.190028557,1.543912341
Gene2,-1.42080494,-1.123371121,-1.576624821,-1.139754977,-2.247323481,-0.877068794,-1.518316111,-1.791099898,-1.383928888,-1.25681788,-2.904360678,-0.560875211,-1.385265336,-1.941722483,-0.890086782,-1.059172142,-1.117728342,-1.504209165,-1.321660334,-1.443524548,-0.864496287,-0.809454449,-1.319383423,-1.100305027,-0.839549267,-0.753868132,-0.838113823,-1.143021849,-0.671107382,-1.221575264,-1.699182008,-1.178462457,0.308706639,-1.223010708,-1.209943221,-1.123024634,-0.768717549,-0.955572711,-1.799762058,-1.328788054,-1.108917688,-1.17866045,-1.126885483,-1.184798208,-0.430744822,-0.925131406,-1.076694454,-1.446197443,-0.673087304,-0.776934226,-1.037392997,-0.908401063,-1.662850434,-0.569339379,-0.831035601,-1.396550893,-0.66249472,-0.239929815,-1.167127402,-1.754817823,-1.23696916,-0.689966141,-0.985568533,-1.45287968,-0.992745751,-1.263252627,-0.918746157,-1.142081386,-0.841133205,-1.026156939,-0.651654646,-0.557063861,-1.282952854,-0.600028174,-1.333886353,-0.863308334,-0.932853103,-0.119550543,-1.061102566,-1.221624762,-1.007298179,-1.10990765,-1.13534965,-1.011010533,-0.698380811,-1.048084577,-1.010169066,-0.574932659,-1.726801923,-0.703380115,-1.222367233,-0.331501219,-0.994329689,-0.906025156,-0.968442205,-1.118074829,-0.449653079,-0.896076047,-0.569339379,-1.224297657,-0.535581704,-0.584881768,-0.756194541,-0.245325103,-0.458463733,0.047257906,-0.070745459,-0.218249667,-0.328184849,0.541743487,-0.212953375,-0.129004672,0.23559801,-0.2174082,-0.636706233,-0.47153122,0.660637818,-0.336451025,-0.440446441,-0.466135932,-0.018327018,0.627424622,0.209413538,-0.476431527,0.264603871,-0.193451141,-0.372881594,-0.025850723,-0.324917978,-0.065201677,-0.26195645,-0.253393287,0.203869756,-0.026642691,0.246091598,-0.013228718,-0.065300673,0.982622673,0.109724453,0.297124094,-0.547708728,-0.137369843,-0.287843934,0.070769483,0.409979662,-0.1562781,-0.289130883,-0.477619481,-0.457374776,-0.139300267,-0.145537022,0.060226397,-0.235870975,-0.246562555,0.40517835,0.045079992,0.508678785,0.461853624,-0.188996316,0.057553502,0.082748013,0.392556346,-0.355062294,-0.135587913,-0.479054924,-0.233643562,-0.679076569,0.349641531,0.44081695,0.008005948,0.397605147,-0.539838537,-1.178462457,0.308706639,-0.054510097,-0.123807376,-0.550629114,-0.263045407,0.437698573,0.223965967,0.862886875,-0.066439129,-0.34625164,-0.036492805,0.340286399,-0.097622904,-0.058370945,0.467694395,-0.231366652,-0.123856874,0.338157982,-0.318978211,0.510807202,-0.385553096,-0.289774358,0.039635206,0.012262781,0.129870162,0.286877996,-0.165979719,-0.2174082,-0.636706233,0.430224366,0.02245938,1.639115391,1.032764204,0.564116608,0.33998941,0.348503076,1.893881886,0.590400076,0.766959642,1.196008793,0.699493792,1.033754165,0.18263509,0.819229589,0.894615129,0.581836912,0.418344833,0.318655748,1.620603118,0.026270731,0.499026664,0.798786892,0.517439941,0.71889703,0.700483753,0.809973453,1.390981636,1.728063398,0.828782714,0.856848112,0.497888209,1.968821943,1.038951461,1.774789563,0.253219318,1.336484276,1.027913394,0.73671633,1.602239339,0.931887165,2.002629115,0.187287907,0.672665845,1.20932377,0.60836787,0.654698051,1.136809118,0.709096415,0.79987585,0.873776447,0.888576366,0.828040243,0.969060205,1.240557043,0.98168221,0.546742791,1.671833606,1.201552575,0.709343905,1.559720509,1.559225528,1.4810186,0.312567487,1.907939334,2.401038969,0.926145391,0.946588088,1.358213923,0.65880639,1.125523561,1.180317909,0.743547062,1.23248886,1.549672404,1.092755848,1.350541724,1.206056898,0.466407445,0.803093223,1.425283789,0.931887165,2.002629115,1.085133147,0.543129432,0.767157634,1.381676001,0.622474816,1.545415571,2.664022141,0.897189028,0.885408491,1.44943884,2.384061136,2.703175103,2.664665616,0.884418529,1.533140053,1.448646871,1.620504122,1.571798035,0.824674376,1.703660856,1.993174986,1.322179338
Gene3,-1.913339671,-1.377812018,-1.904994109,-1.335793567,-1.650433709,-1.102449993,-1.914045514,-1.697060903,-1.462886926,-1.263880565,-1.767105495,-1.574991489,-1.215011279,-1.793055626,-1.448105731,-1.088000961,-1.393091455,-0.707053045,-1.064334442,-1.552529056,-1.329690096,-1.797664369,-1.45192559,-1.687926457,-1.165270069,-0.646807222,-1.194749417,-1.421491277,-1.572500277,-1.237930434,-0.572486048,0.359185916,-0.29633514,-0.918224827,-1.476837716,-0.961654965,-1.101495028,-1.345592336,-1.727868898,-0.921629484,-1.162488215,-1.508642196,-1.289872216,-1.326991282,-0.630863462,-0.153505622,-1.340319269,-0.107002988,-1.301622435,-0.864414636,-0.299116994,-0.653699577,-1.490373304,-1.780308922,-1.021361025,-0.960118718,-0.830451106,-0.912578078,-1.653713805,1.213879414,-1.060805224,-0.997569946,-0.636593251,-0.281927627,-0.972906942,0.854605047,-1.377853538,-1.07990452,-0.776806996,-0.189711244,-1.025928248,-0.035006946,0.401245888,-0.227619194,-1.033941649,-1.113992611,0.550178877,-1.28480675,-0.867943854,0.017723719,0.516796629,0.852030794,0.090633206,1.049210266,-0.556376207,0.483040699,-0.486414656,-0.40569937,0.234334649,-1.517070798,-0.605826776,-0.663622907,-0.900537218,-0.040030891,-0.790467144,-1.386033019,-1.258815099,0.705755099,-0.951150352,0.794815947,-0.103349209,0.321859249,-0.562479678,-0.75970067,-0.443939482,-1.015921878,-1.04212113,1.019191155,1.224716188,0.005309177,-0.470014173,-0.854657387,-0.687663108,0.034373323,-1.032696042,0.597262793,-0.225086462,-0.625922557,-0.285249244,1.460592495,-0.632233629,0.31816395,-0.114518146,-1.037180225,-0.655152784,-0.679732748,0.095740192,-0.937407163,1.005655567,0.086896387,-0.449337109,-0.425421469,-0.520502747,-0.881271841,-0.908135416,0.05156269,-0.859390691,0.315714258,-0.05364952,-0.677905858,-0.954804131,-0.7338751,-0.619403884,-0.544003185,-0.759866751,-0.024336252,0.527259721,0.854646568,-0.655567986,-0.6701831,0.30217867,-0.166833609,-0.713073475,-0.193697184,-0.573150372,-0.731591488,-0.157616122,-0.382821735,-0.508669488,-0.492684207,-0.330381711,-0.462125333,-0.564306567,-0.281221784,0.323146375,-0.379624679,-0.509333811,0.852529037,-0.440036582,-0.672009989,-0.133825043,0.718667884,0.359185916,-0.29633514,-0.382406533,1.15936338,1.006112289,0.575423164,-0.475577881,1.050331312,-0.058922586,-0.40976835,0.711360327,-0.268890282,0.62840295,-0.547324802,0.104916158,-0.420439044,-0.129548461,1.149979813,0.250818171,-0.402087112,0.080502275,-0.54894409,0.074564885,-0.403997041,0.459249619,-0.360732984,0.778415464,1.117967732,0.034373323,-1.032696042,-0.692645533,-0.205073721,1.522997368,1.027578237,0.817652062,-0.095875572,0.954876352,0.654934363,0.782733566,0.975677976,0.978916553,0.140374416,0.392028401,0.462156034,0.209547084,1.399433227,0.353123966,0.723110546,0.37986298,1.409231996,0.971318354,0.809763222,0.645343195,0.20086936,0.462944918,0.749268278,0.918255527,1.386645003,1.344128309,1.293058452,0.144526437,0.640111649,1.820323583,1.356708932,1.749697708,-0.0815511,1.362853923,1.27084514,0.32219141,1.633565684,0.855227851,1.968301607,0.686655803,0.548227427,1.337609636,0.425410649,0.408761046,1.480314594,0.720038051,0.626617581,0.449949093,0.502555197,0.129247,1.379669608,1.270512979,0.60448731,0.682752903,1.662795911,0.390990396,-0.05364952,1.171030559,1.37016148,1.596529658,1.715609617,1.917854554,2.381676806,0.853774643,0.77160615,1.498375885,1.262624139,0.497489732,1.041445987,0.423749841,0.580945351,1.626133567,1.059465758,0.374714474,1.358369741,0.114881008,0.364417463,1.367047464,0.855227851,1.968301607,1.114646115,0.86710263,0.680676893,1.158242334,1.12751738,1.325527255,2.389731727,0.566953041,1.040781664,1.066150511,1.74214103,2.39035453,2.618300476,0.281252484,1.253987936,0.700731154,1.442946406,1.473297678,0.383641319,1.427459368,1.907806663,1.021682368
Gene4,-2.007333534,-2.054201616,-1.388805148,-1.382330756,-2.262033669,-1.812205948,-1.502086647,-1.386891334,-1.074328866,-1.833705816,-2.490306884,-1.326422957,-1.003802786,-1.623349158,-1.193311088,-0.938610953,-1.225968084,-1.414458399,-0.725974005,-1.386728457,-1.073066564,-1.87312224,-1.37178442,-1.381923562,-1.109673346,-1.431112653,-1.878619365,-1.147786747,-1.233989814,-1.127956377,-0.885390637,-1.791316873,0.105476364,-0.869347175,-1.110202698,-0.564887877,-0.740144373,-0.994518752,-1.668547743,-0.80358527,-0.97481054,-1.722093814,-0.996351127,-1.576033161,-1.352157647,-1.318564104,-0.728824367,-1.500661467,-0.250452314,-0.906035396,-1.357288297,-1.798727812,-1.380539101,-0.530724262,-1.503878303,-1.260213138,-0.734280772,-0.816534053,-0.630486904,-1.544271993,-0.459058036,-1.02261517,-0.688715712,-1.348655775,-1.315754462,-1.118672343,-1.056249432,-0.402417287,-0.924481305,-0.733059189,-1.060484255,-1.063904688,-1.552741638,-0.726462639,-0.942764336,-1.027135028,-0.983565221,-0.74767747,-0.821705423,-1.051607416,-1.142900414,-1.101325859,-0.254402101,-0.267798798,-1.539467099,-0.879689914,-0.980266946,-1.38644342,-1.714601436,-0.34561366,-0.961169526,-0.875292214,-0.579424719,-0.457144223,-0.363448777,-0.392033828,-1.120830474,-0.197964948,-0.611796679,-1.375937803,-0.704392699,-0.237584969,-0.530479945,0.046270289,-0.660456417,0.463155978,-0.534429731,-0.554178662,-0.179885514,-0.241616195,-0.34781251,0.263386375,-0.438453997,-0.198046387,-0.24340785,-1.12921868,0.031122655,-0.072549054,-0.619981287,-0.212949704,-0.416099021,-0.218080355,-0.741243798,0.338513753,0.284926962,0.116511334,-0.3706154,0.10865248,0.622409731,-0.701542338,-0.861854797,-0.384174975,0.745056703,0.479077281,0.212487068,-0.507921372,0.832277756,0.413681851,-0.459058036,0.746889078,0.327356625,0.070824115,0.18516432,0.267417601,0.277353145,-0.170967956,-0.230051872,0.229507796,0.100142116,-0.260795054,0.246447086,0.398045584,0.243718883,-0.718033713,0.09032873,0.328741086,0.338717351,1.364806672,0.033402944,1.005986913,0.266847528,0.863346694,-0.126583759,-0.19413732,0.467960872,-0.032725436,0.27258897,1.144025835,0.574197907,0.943808319,0.533274864,0.167614238,-1.791316873,0.105476364,-0.128456854,0.434041574,-0.23461245,0.082347718,1.231043292,-0.457225661,1.078467527,0.134142854,0.284031135,-0.128212537,0.537916881,0.185082881,-0.345980135,-0.090180575,-0.200530273,0.714598557,0.655514641,0.376952911,0.432005602,-0.071368191,-0.122959729,-0.050682712,-0.01847363,0.759471387,-0.513662814,0.589915613,-0.198046387,-0.24340785,0.384893203,0.567479199,0.436891935,0.247994425,1.022030375,0.899301965,0.414251923,0.809882061,1.100048834,0.318724103,0.263671412,1.119512729,1.213778247,0.716756688,1.273513674,0.440515966,0.800720186,0.830323223,0.343074331,0.369582691,0.440556685,0.536206664,0.54972552,0.782925788,1.370751711,0.80776465,0.81513487,0.136300984,0.001193862,0.692162142,1.738529748,0.557625093,0.817415159,0.904351176,0.353783546,0.531971842,0.505504202,0.551883651,1.187921398,0.090573046,1.036648656,1.370914589,0.702179126,0.979356396,0.803122633,0.757394695,0.864608997,0.157434377,1.233486458,1.348885369,1.394206112,1.316798445,1.55830548,0.713336254,1.29216318,1.59723327,0.657632052,0.510186938,0.8819962,1.405118924,1.322580606,0.707391215,1.024188506,0.939695655,0.839851573,0.304268699,0.444669349,1.587989956,0.856057913,1.121019348,1.663524528,1.818543459,1.106604664,1.798590931,0.752182606,1.626917746,2.118034985,0.65926083,1.014578716,0.896858798,0.535107239,1.036648656,1.370914589,1.377144664,1.238657828,1.618040907,1.319038015,1.073255438,1.677654176,0.886923253,1.607576009,0.973289198,1.953324826,2.330509055,1.353242349,1.022233972,1.549306482,1.417579074,2.148248814,1.463062695,1.332149676,1.434233327,1.314314559,1.360123936,1.78832963
